url,name,description
https://www.lobsterandco.com/,Lobster & Co.,restaurant
https://www.americandreamdiner.com/,American Dream Diner,restaurant
https://www.jecks-place.ch/,"Jeck's Place, Restaurant singapourien",restaurant
https://www.sajna-restaurant.ch/,Sajna,restaurant
https://www.sajna-restaurant.ch/,Sajna,restaurant
https://www.thehamburgerfoundation.ch/en/restaurant-paquis.html,The Hamburger Foundation,restaurant
https://www.gerard-pere-et-fils.com/fr/,Gérard,tobacco
https://dev.esteyo.online/bienvenue-a-la-buvette-des-bains,La Buvette des Bains,restaurant
https://www.montbrillant.ch/fr/restaurants.php,Pizz'Arte,restaurant
https://auboafumant.net/,Au boa fumant,tobacco
https://www.montbrillant.ch/fr/restaurants.php,Pizz'Arte,restaurant
https://www.seoulgeneva.com/,Seoul,restaurant
http://grappedor.ch,La Grappe D'or,restaurant
http://www.espresso-club-geneve.CH,Espresso Club,restaurant
https://www.aubergedesaviese.com/,Auberge de Saviese,restaurant
http://grappedor.ch,La Grappe D'or,restaurant
https://qafeguidoline.ch,Qafé Guidoline -- (La Guidoline),bar
http://www.espresso-club-geneve.CH,Espresso Club,restaurant
https://www.gerard-pere-et-fils.com/fr/,Gérard,tobacco
https://www.laterrasse.ch/,La Paillote,bar
https://lescandale.ch/,Scandale,bar
https://lescandale.ch/,Scandale,bar
http://www.james-pub.com,Jame's Pub,restaurant
https://maitighar.ch/,Maitighar,restaurant
https://www.restaurant-nagomi.com/,Nagomi,restaurant
https://gandhi.ch/,Ghandi Café,restaurant
https://www.francesinhasgeneve.com/,Francesinhas & Cia,restaurant
https://www.gangnam.ch/,Gangnam Pocha,restaurant
http://www.espresso-club-geneve.CH,Espresso Club,restaurant
https://donduarte.ch/,Don Duarte,restaurant
https://www.laterrasse.ch/,La Paillote,bar
https://www.oetkercollection.com/hotels/the-woodward/restaurants/latelier-robuchon/,L'Atelier Robuchon,restaurant
https://www.oetkercollection.com/hotels/the-woodward/restaurants/le-jardinier/,Le Jardinier,restaurant
https://www.laterrasse.ch/,La Paillote,bar
https://terrarossa-restaurant.ch,Terra Rossa,restaurant
https://gandhi.ch/,Ghandi Café,restaurant
https://maitighar.ch/,Maitighar,restaurant
https://www.francesinhasgeneve.com/,Francesinhas & Cia,restaurant
https://www.gangnam.ch/,Gangnam Pocha,restaurant
http://www.mikado-food.ch,Mikado Sushi,fast_food
https://www.oetkercollection.com/hotels/the-woodward/restaurants/latelier-robuchon/,L'Atelier Robuchon,restaurant
https://www.oetkercollection.com/hotels/the-woodward/restaurants/le-jardinier/,Le Jardinier,restaurant
https://www.oetkercollection.com/hotels/the-woodward/restaurants/latelier-robuchon/,L'Atelier Robuchon,restaurant
https://www.oetkercollection.com/hotels/the-woodward/restaurants/le-jardinier/,Le Jardinier,restaurant
http://www.nguyen-saveursduvietnam.ch,Nguyen,restaurant
https://www.local.ch/fr/d/geneve/1201/restaurant/la-pepite-iC2vi0Bz-82XF3W_uynPdw,La Pépite,bar
https://www.hotelroyalgeneva.com/,L'Aparté,restaurant
https://www.hotelroyalgeneva.com/,L'Aparté,restaurant
https://www.alquadrato.ch/,Al quadrato,restaurant
https://www.miski.ch/,Miski,restaurant
https://www.restaurantbayview.com/,Bayview,restaurant
https://www.miski.ch/,Miski,restaurant
https://www.elcatringeneva.com,El Catrín,restaurant
https://www.miski.ch/,Miski,restaurant
https://www.restaurantbayview.com/,Bayview,restaurant
